0,1,2,source,0_syllables,1_syllables,2_syllables
I never would've, guessed my life would completely,crumble in one night,twaiku,5,7,5
Billy nard sounds like, the guy that got evicted,from his parents house,twaiku,5,7,5
Luckily I was, only changing the flow switch,on this occasion,twaiku,5,7,5
I'm sorry that those, things happened to you her and,especially myself,twaiku,5,7,"5,6"
GOOD MORNING TRADERS, OF ALL AGES IS IT TIME,FOR QUIET RIOT,twaiku,5,7,5
Are u angry cos, it wasn't a Penalty,or cos it's Madrid,twaiku,5,7,5
Happy Birthday from, an avid fan How you have,a tremendous day,twaiku,5,7,5
Racially tinged sounds, like your can of paint won't stop,saying the n word,twaiku,5,7,5
Am I the only, one who hopes to see Tiger,Woods go down in flames,twaiku,"5,6",7,5
Duval and Carter, both finish soft at the rim,for such good athletes,twaiku,5,7,5
Keep working towards, your dreams until it happens,action is progress,twaiku,"4,5",7,5
Denver's Defense and, Emmanuel Sanders on,my fantasy bench,twaiku,5,7,5
Women finally, move to men and now the think,pieces have started,twaiku,5,7,5
People who speed up, to stop you from switching lanes,are hilarious,twaiku,5,7,5
Ice dancing needs less, Jimmy McIlroy and more,Chazz Michael Michaels,twaiku,5,7,5
I want a sugar, daddy for the sole purpose,of buying me books,twaiku,5,7,5
Some of you better, watch what you're saying cause you,can make others hurt,twaiku,5,7,5
Hate the feeling of, not knowing whether to give,up or keep trying,twaiku,5,7,"4,5"
got dammit I love, my haters they complain bout,the sound like neighbours,twaiku,5,7,5
There are some people, I wish I would have met and,just kept it cordial,twaiku,5,7,5
Ah yes I almost, forgot I brought you something,from the town florist,twaiku,5,7,5
be as gentle as, you can with yourself today,in mind and body,twaiku,5,7,5
I can't stress enough, the importance of learning,new stuff everyday,twaiku,5,7,5
These early bed times, seriously does wonders,for me Good morning,twaiku,5,7,5
My boyfriends mom just, called me Baby girl I love,getting called that dude,twaiku,5,7,5
And Nana got what, he got we all just late to,the game Stay woke y'all,twaiku,5,7,5
I wanna go Black, Friday shopping but all my,friends are cock suckers,twaiku,5,7,5
a feeling that i, ve never know im dealing,with it on my own,twaiku,5,"8,7",5
Who's idea was, it for duke to play army,on Veterans Day,twaiku,5,7,"4,5"
I'm starting to dig, this Ronda Rousey and Kurt,Angle alliance,twaiku,5,7,5
Does anyone else, purposefully walk around,birds to not scare them,twaiku,5,7,5
It's a cruel world, outside but I need you to,know that I got you,twaiku,"4,5",7,5
not to be emo, on main but it's a great night,for anxiety,twaiku,5,7,5
Everyone out lit, but I'm working lit getting,paid so it's ignite,twaiku,5,7,5
don't even try to, judge me dude you don't know what,fuck i have been through,twaiku,5,7,5
This girl is having, a full blown photo shoot of,her bowl of oatmeal,twaiku,5,7,5
Were never really, in for him hasn't done much,so far this season,twaiku,5,7,5
Literally got, nothing to wear on sat and,it's stressing me out,twaiku,"4,5",7,5
Flagrant blasphemy, Ever heard the saying God,will get you for this,twaiku,5,7,5
I've legit been in, my bed all day never been,so bored in my life,twaiku,5,7,5
Not being able, to mix and match bathing suit,sizes is the worst,twaiku,5,7,5
No matter how life, comes at you those that we love,can make us stronger,twaiku,5,7,"5,6"
When you're hourly and, you're not allowed OT but you,still have work to do,twaiku,5,"8,7",5
literally I, have that exact picture of,him as a poster,twaiku,"4,5",7,5
Merry Christmas and, happy new year to you and,your family Ted,twaiku,5,7,"4,5"
Apparently my, voice sounds fake deep now I'm in,a mood G d nite,twaiku,5,7,5
Been busy finding, a job This sucks haven't got,any phone calls yet,twaiku,5,7,5
it always makes me, laugh when people say i have,clout like what even,twaiku,5,7,5
don't bother me when, they're done had a little fun,did you shoot your gun,twaiku,5,7,5
Looking for a cheap, designer to make me a,personal logo,twaiku,5,7,5
Literally don't, know what to do with myself,besides eat and sleep,twaiku,"4,5",7,5
Y'all passing the puck, too much Opposing teams know,what you're gonna do,twaiku,5,7,5
I really gotta, get around to playing the,Stanley parable,twaiku,5,7,5
lana del rey is, so beautiful I would love,to be her pet roach,twaiku,5,7,5
If you agree to, take a vacation without,prudence camels weep,twaiku,5,7,5
Surely nobody, actually listens to,dudes like Lil Pump right,twaiku,5,"5,6,7",5
happy new years mate, Thank you for making good posts,this year here's to more,twaiku,5,7,5
What kind of college, sends out rejection emails,on Valentine's Day,twaiku,5,7,5
I love how goofy, our relationship is,love love my boyfriend,twaiku,5,"6,7",5
Valentine's Day was, awesome Seeing her smile is,always heartwarming,twaiku,5,7,5
Someone needs to bring, the R B Classics Back No,one else doing it,twaiku,5,7,5
Some people just seem, to be so pleasant I want,to be like that too,twaiku,5,7,5
The sun is shining, a spot light on the moon Love,it feeling joyful,twaiku,5,7,5
Something about warm, weather make you not wanna,be cuffed anymore,twaiku,5,7,5
Ugh Meeting ran late, and now my whole day is off,At least it's Friday,twaiku,5,7,5
What a lovely post, Merry Christmas and I hope,you feel better soon,twaiku,5,7,5
I'm in a really, good place right now but sadly,I know it will end,twaiku,5,7,5
hi im from middle, east i like to be one of,loyal masonry,twaiku,5,7,5
not sure if mentioned, but holm rousey was a huge,upset at the time,twaiku,5,7,5
Imagine having, normal sleeping and eating,habits That's the dream,twaiku,5,7,5
i would really like, some cadbury fingers will,someone send me some,twaiku,5,7,5
I am so tired, and I have literally,done nothing today,twaiku,"5,6","6,7",5
Anyone trying, to catch the D Backs Rockies,game this Saturday,twaiku,"4,5",7,5
I always forget, how boring rensselaer is,until I come back,twaiku,5,7,5
Change the narrative, but you can't turn a man whore,into a husband,twaiku,5,7,5
Torn between letting, you off easy and giving,you what you deserve,twaiku,5,7,5
i'm different than, other girls twitter is in,full force this morning,twaiku,"4,5",7,5
You are informed by, what you hear and transformed by,what you Understand,twaiku,5,7,5
Never forget the, time Cody took a photo,with my nipple Times,twaiku,5,7,5
Throwing ideas, around for a house party,but we have no mates,twaiku,5,7,5
don't nobody gaf, you went to see Black Panther,with your white girlfriend,twaiku,5,7,5
i either have too, many shows to keep up with,or nothing to watch,twaiku,5,7,5
I'm laughing so hard, with all the replies I swear,it's hilarious,twaiku,5,7,5
Troubles me to know, of holes in the walls so treat,her well I tell you,twaiku,5,7,5
Wallace road is a, long road Rough idea of,termination point,twaiku,5,7,5
Trying to bargain, something She asked her tilting,her head a little,twaiku,"4,5",7,5
C'mon Texas We, need your help We're counting on,you Show us the RED,twaiku,5,7,"5,6"
I need the background, on how Dude Perfect and Kay,Jewelers teamed up,twaiku,5,7,"4,5"
When you're dreaming with, a broken heart waking up,is the hardest part,twaiku,5,7,5
Don't it always seem, to go that you don't know what,you got til it's gone,twaiku,5,7,5
Do you just ever, sit down and realise how,not okay you are,twaiku,5,7,5
You will never find, the best when you are always,looking for the worst,twaiku,5,7,5
Looking to whip up, some arsenic quick I'll show,you how I make it,twaiku,5,7,5
all my family, members stalking my twitter,please piss off thank you,twaiku,"4,5",7,5
How many times does, a Sky box have to update,in a single day,twaiku,5,7,5
Yes ofc All, Chinese ladies is so so,pretty Thank you smiles,twaiku,5,7,5
I am changing my, tablet up now email me,ok my husband,twaiku,"5,6",7,5
As if caitlin just, flooded my room so we could,get a spider out,twaiku,5,7,5
like how many things, do i tweet and just forget,eventually,twaiku,5,7,"4,5"
Did I forget to, mention I'll be cutting my,hair this Saturday,twaiku,5,7,5
Fuck living middle, class I'm trying to do more,than buy a Camry,twaiku,5,"6,7",5
I really like wet, and wild mascara And their,stuff is super cheap,twaiku,5,7,5
Taking a break from, farming for BoA Runes are,very hard to drop,twaiku,5,7,5
These outfits so cute, I got I'm ready to start,enjoying myself,twaiku,5,7,5
You are a disgrace, and a pathological,liar We support,twaiku,5,7,5
Thinking of all the, places my mom could have hid,my Easter basket,twaiku,5,7,5
This medicine my, doctor got me on make a,bitch hot and hungry,twaiku,5,7,5
Like Daniel said it's, no time to wait people want,to invest us now,twaiku,5,7,"5,6"
It's so easy to, cheat on diets man but I,gotta keep pushing,twaiku,5,7,5
Democrats are in, a Sam's Club second device,found in suspect's car,twaiku,5,7,5
Thank you very much, just about to settle down,and have a good read,twaiku,5,7,5
I only had like, two cups before you woke up,Take it if you want,twaiku,5,7,5
lady eagles are, already going to fight,and im now shaking,twaiku,5,7,5
I'm just trying to, find a girl that I can hold,the door open for,twaiku,"4,5",7,5
Good responsible, doctors in Canada are,not accessible,twaiku,5,7,5
i'm pretty sure more, than half my teachers think that,i dropped out by now,twaiku,5,7,5
Very strong and dark, as a long black but I like,my coffee that way,twaiku,5,7,5
You so skinny if, they put a dime on your head,you'd look like a nail,twaiku,5,7,5
I'm really gonna, get a new phone this week I,owe it to myself,twaiku,5,7,5
Again what if it, was really just about geese,with chills all along,twaiku,5,7,5
This president has, made the Whitehouse a SHITHOLE,Call it like it is,twaiku,5,7,5
Im talking about, tried to fuck me my boo up,im so annoying,twaiku,5,7,5
Get outta my way, unless you want a arrow,in your ass Marsha,twaiku,5,7,5
also how do worms, fuck what about whales or snakes,so many questions,twaiku,5,7,5
My friends remind me, that i am young and need to,have fun with my life,twaiku,5,"8,7",5
Turn the radio, down and lay down too I could,be the one for u,twaiku,5,7,5
Big Mouth makes ever, normal thing I do during,the day sexual,twaiku,5,7,5
I'm catching up on, my shows I'll continue my,show overviews now,twaiku,5,7,5
When it really comes, down to it the only ones,that got you Well you,twaiku,5,7,5
It's really great when, your parents don't include you,in big decisions,twaiku,5,7,5
excellent news There, should be no room for racists,in the media,twaiku,5,7,5
undergraduates, Cameron wanted me to,do that by the way,twaiku,5,7,5
Canny believe I've, booked in to get me lips done,kinda shitting it,twaiku,5,7,5
Ricky likes his cap, like he likes his players fat,and overloaded,twaiku,5,7,5
seeing girls that are, head over heels for other,girls is cuter tho,twaiku,5,7,5
And how many were, lost because they didn't kick,an extra point there,twaiku,5,"6,7",5
I won't be missing, one more day and What do we,want We want change LOL,twaiku,5,7,5
weirdo neighbors yo, like take all that screaming and,yelling somewhere else,twaiku,5,7,5
I can move mountains, I can work a miracle,work a miracle,twaiku,5,7,5
Every now and, then it be a fine chick in,the nab shot paper,twaiku,"4,5",7,5
someone said id look, good with dark blue lipstick and,u know what i would,twaiku,"5,6",7,5
Screaming accurate, representation of me,in my wrangler,twaiku,5,7,"4,5"
Nu op Virtual, Radio The Cardigans,My favourite game,twaiku,5,7,5
the club music DO, it'll never appeared in,Simpsons Hit and he,twaiku,5,"6,7",5
Every time this, dude sends me videos of,him I get nervous,twaiku,"4,5",7,5
Had a hygienist, appointment today i love,getting my teeth cleaned,twaiku,5,7,5
honestly i can't, provide to the ungrateful,no more its a wrap,twaiku,5,7,5
Designs on hold for, the next week cause work got me,on a tight schedule,twaiku,5,7,5
If money is what, you find happiness in then,you'll always be poor,twaiku,5,7,5
Put the phones away, give the cunt a hiding and,send him on his way,twaiku,5,7,5
I was unaware, that they make jogger scrub pants,and now I need them,twaiku,5,7,5
STREAM LOST IN JAPAN, AND IN MY BLOOD AKA THE,BETTER SINGLE BYE,twaiku,5,"8,7",5
You just ever have, a nice helping of sleep for,breakfast lunch dinner,twaiku,5,7,5
I held a baby, today so it's safe to say,it's been a GRAND day,twaiku,5,7,5
Law firms also claimed, huge losses from the spill for,themselves and were paid,twaiku,5,7,5
i'll never play games, with a woman's mind again,they don't deserve it,twaiku,5,7,5
i said maybe you're, gonna be the one that saves,me and after all,twaiku,5,7,5
I rejected ice, cream A whole me this is a,serious matter,twaiku,5,7,5
You ever get to, a crossroads where you have to,decide what you are,twaiku,5,7,5
am coming end of, next week with my family,Hope to meet you then,twaiku,"5,6","6,7",5
i was discussing, this with Austin this weekend,now im curious,twaiku,5,7,5
Adults can learn so, much from the innocent and,pure hearts of children,twaiku,5,7,5
Would you guys ever, come tour in Australia in,the major cities,twaiku,5,7,5
the waters shall be, drained from the sea the river,shall parch and dry up,twaiku,5,7,5
I just wanna be, cuddled up watching Christmas,movies with someone,twaiku,5,7,5
why do i wanna, watch coraline every,second of my life,twaiku,5,"6,7",5
Hoes gonna be hoes, so I couldn't blame tammy,but please stay away,twaiku,5,7,5
I'm confused as to, what's actually canceled,for Boston First Night,twaiku,5,"5,6,7",5
ok il weird but, i want to know what you eat,today for the clue,twaiku,5,7,5
Thanks to highschool I, only enjoy the county,fair when I'm drunk lol,twaiku,5,7,5
Nobody let my, old ass stay in tonight I,WILL get lit tonight,twaiku,5,7,5
Disgusting to say, the least imagine being,that disrespectful,twaiku,5,7,5
i should be getting, my new glasses in a few,days hallelujah,twaiku,5,7,5
When Your Family, Call You Crazy Everyday,That An Air For Us,twaiku,"4,5",7,"5,6"
I lose respect for, anyone based on actions,or things they tell me,twaiku,5,7,5
Dreams dreams of spaceships, in the sky My lover she,remembers me now,twaiku,5,7,5
Listen to When the, Levee Breaks w me,so I know it's real,twaiku,5,7,5
I started sucking, on a baby bottle pop,to add emphasis,twaiku,5,7,5
Micromanagement, is a totally waste of,everybody's time,twaiku,5,7,5
I legit have a, dad t shirt Top Ten Things I,Love About Band Camp,twaiku,5,7,5
if parmesan were, a person i'd let them put,their thumb up my butt,twaiku,5,7,5
If you have baby, fever don't look at this thread,it'll make it worse,twaiku,5,7,"4,5"
An example of, what you earlier meant This,shit ain't cool at all,twaiku,5,7,5
Bitches went hush mode, THEM DONS AH SHUT THAT ASS UP,QUICK SUS YOU GOT PRESSED,twaiku,5,7,5
I cry every, single time I watch the last,episode of Friends,twaiku,"4,5",7,5
OK WELL I'M SURE, THERE WILL BE V CONTENT IN,THE UNKNOWN ROUTE TOO,twaiku,5,7,5
io has the best, character with the most free,draws out of the fuck,twaiku,5,7,5
She can fuck around, and get her ass licked But still,can't get her ass kissed,twaiku,5,7,5
I'm thus inclined to, believe that NAME has engaged,in internal war,twaiku,5,7,5
Females and they lies, and excuses I really,ain't the one for it,twaiku,5,7,5
Currently petting, a pit bull and ignoring,all of my problems,twaiku,5,7,5
you want a father, and son to fuck how high and,mighty can you be,twaiku,5,7,5
There's a girl crying, I'm bout to go help and talk,to her she's alone,twaiku,5,7,5
Are dolphins who die, with no money given a,porpoise funeral,twaiku,5,7,5
here's a footage of, daniel trying to make my,ovaries explode,twaiku,5,"6,7",5
All the good middle, aged dykes are getting married,and having children,twaiku,5,"8,7",5
The less attention, u show her the more she shows,social media,twaiku,5,7,5
i've been vegan for, almost two weeks and all i've,gained is bad skin the,twaiku,5,7,5
Lil mama's earrings, so cute can't wait to get her,ears pierced this weekend,twaiku,5,7,5
Looking for a great, promo code for my lamp that,you are selling D,twaiku,5,7,5
people really don't, wanna see you happy that's,why you don't share shit,twaiku,5,7,5
I'm so ready for, this roast dinner later my,stomach is screaming,twaiku,5,7,5
People just feed off, attention around here it's,honestly quite sad,twaiku,5,7,5
It's so important, to understand why people,think the way they do,twaiku,5,7,5
Serious headache, affecting my left eye with,no one to cuddle,twaiku,5,7,5
If everything is, perfect where's the fun in that,embrace the struggles,twaiku,5,7,5
Fell asleep with my, contacts in last night I want,to rip my eyes out,twaiku,5,7,5
Really regretting, not getting enough sleep Work,is gonna kill me,twaiku,5,7,5
Aw c'mon Mom Give, me a little scratch on the,ear show me you care,twaiku,5,7,5
I wish letting go, was fucking easier man,Fuck you trifling ass,twaiku,5,7,5
Today my album, just got a hell of a lot,more interesting,twaiku,5,7,"4,5"
When Daniel doesn't, come to work I walk around,like a lost puppy,twaiku,5,7,5
Those people at work, who don't do anything at,all but then walk out,twaiku,5,7,5
My grandmother told, me that one time i've always,pondered that deeply,twaiku,5,7,5
After awhile I, just stopped stressing and i put,it all in God's hands,twaiku,5,7,5
She needs to hurry, up I'm going to past out,from holding my breath,twaiku,5,7,5
I was gonna take, it easy on beer this week,but then I read this,twaiku,5,7,5
i'm so tired of, crying over you why don't,you just treat me right,twaiku,5,7,5
This is gonna be, one of the best summers yet,I have a feeling,twaiku,5,7,5
Wenger would do a, job on us at Wembley need,Conte to knock him out,twaiku,5,"8,7","5,6"
A Haiku a day, That's what the doctor told me,It's that or apples,twaiku,5,7,5
Happy birthday to, you and happy new year You,are so beautiful,twaiku,5,7,5
why do I always, look at stuff that I know is,gonna piss me off,twaiku,5,7,5
And noise pollution, Stressful to people and pets,harmful to wildlife,twaiku,5,7,5
haven't had a nose, bleed in ages somebody,shout hallelujah,twaiku,5,7,5
Lebron know his sick, he gotta play it off man,hell nah Portland bro,twaiku,5,7,5
We got a double, minor for a penalty,we didn't commit,twaiku,5,7,"4,5"
Nothing more precious, then cuddling my little man,watching inside out,twaiku,5,7,5
Wow for a moment, I honestly forgot you,ever existed,twaiku,5,7,5
always on the cards, Mr Rodgers after hearts,defeat could be back,twaiku,5,7,5
am I the only, one that cries over random,babies in public,twaiku,"5,6",7,5
Did dispatch release, G O's dating news or was,it another source,twaiku,5,7,5
HILLARY VS, DONALD DUCK if DONALD DUCK,won I would be CHILL,twaiku,5,7,5
Some days are better, than others it's all about,how you make your days,twaiku,5,7,5
Don't wanna talk to, anyone else but you at,the end of my days,twaiku,5,7,5
Yeh not guilty of, collusion by reason of,insanity yeh,twaiku,5,7,5
Freaky Friday I, think I am the wrong person,to know the right things,twaiku,5,"8,7",5
Just in case people, were wondering why the My,Eagles suck this year,twaiku,5,7,5
When you realize, your clothes have been inside out,happy it's friday,twaiku,5,7,5
If we lose our, captain over this I will,be fucking gutted,twaiku,"4,5",7,5
Yesterday I found, out ranger watches movies,lol funniest thing,twaiku,5,7,5
If someone ever, calls you an edwin girl you,should be insulted,twaiku,5,7,5
I'm going to cook, a large meal for my birthday,Any suggestions,twaiku,5,7,5
Christina Perri, A Thousand Years Official,Music Video,twaiku,5,7,5
Morning gamers I'm, running a fever but still,gonna get this bread,twaiku,5,7,5
Going out tonight, totally made up for my,shitty day today,twaiku,5,7,5
I surfed through Twitter, Plus you have so much love that,I stole some from you,twaiku,5,7,5
Reminder Missy, saying the Doctors name was,what made him wake up,twaiku,5,7,5
Ready to be off, so I can hurry n get,fitted for this suit,twaiku,5,7,5
I really want some, mac n cheese but I don't want,all the dairy man,twaiku,5,7,5
I'm pretty sure she, got a man but still dropped her,location Cold world,twaiku,5,7,5
and I wanted to, get a latte today guess,that's not gun happen,twaiku,5,7,5
Thanks I've also just, seen that you're going freelance,welcome and good luck,twaiku,5,7,5
For once I'm early, and now I'm on the corner,like a prostitute,twaiku,5,7,5
After a long day, of work I got home to clean,bed sheets Thank you mom,twaiku,5,7,5
Daily tweet that I, just want this masterpiece to,come out already,twaiku,5,7,5
I can always vent, with my daddy cause he feels,me on everything,twaiku,5,7,5
ILL FLY TO LONDON, AND SEE THEM BY MYSELF IF,I HAVE TO FUCK THIS,twaiku,5,7,5
One hing you never, want to see in life is me,eating a creme egg,twaiku,5,7,5
Yes It's not enough, to be on the right side of,policy questions,twaiku,5,7,5
got this feelings in, my gut that i will regret,this in the morning,twaiku,5,7,5
It was another, form of oppression saying,women are crazy,twaiku,5,7,5
This is exactly, why I don't fool with y'all when,you say he don't bite,twaiku,5,7,5
Look like Brazilian, bikinis from the nineties,The cause of my son,twaiku,5,7,5
Nobody talk to, me I just watched The Kissing,Booth I'm not okay,twaiku,5,7,5
left of those thistle, out dull jasmine closely earn,zip waitress removed,twaiku,5,7,5
Trusting the process, be the hardest process but,I got faith in GOD,twaiku,5,7,5
yo worst enemy, is memories let them shits,go so you can grow,twaiku,5,7,5
This coaching staff needs, to be fired if we lose,this game Period,twaiku,5,7,5
its always someone, that nobody asked trying,to cancel someone,twaiku,5,"6,7",5
I'm such a caring, person like I just wanna,care for everyone,twaiku,5,7,5
James retires Mrs, McGregor Benny cracks Aunt,Jane Mike stores Aunt Jane,twaiku,"5,6",7,5
How can some players, on this team be so good and,the team play so bad,twaiku,5,7,5
Trying to go to, Disney but don't know enough,people with a pass,twaiku,"4,5",7,5
With all due respect, my friend I kindly invite,you to eat my porn,twaiku,5,7,5
The greatest showman, movie is now at Walmart,and I'm so happy,twaiku,5,7,5
I honestly miss, y'all trust me this comeback is,gonna be epic,twaiku,5,7,5
Finally caught up, on the chi I'm salty can't,wait until Sunday,twaiku,5,7,5
somebody said stop, telling me go vote BITCH I,CANT IM A FELON,twaiku,5,7,5
Nothing worse than a, person who drains you to the,point you feel hollow,twaiku,5,7,5
I always try and, engage n these Twitter games,but no one responds,twaiku,5,7,5
It's insane how fast, people can just be gone from,your life forever,twaiku,5,7,5
Lol Actually, haven't had much of the ball,since the match started,twaiku,"3,4,5",7,5
With us I assume, you mean With this decision,made by us correct,twaiku,"5,6",7,"5,6"
Ain't no loyalty, you lied to me you said you,was gone ride for me,twaiku,5,7,5
compassion when faced, with death is a feeling more,passionate than love,twaiku,5,7,5
Just having one of, those days where everything feels,so dark and pointless,twaiku,5,7,5
Humans and dolphins, are the only species that,have sex for pleasure,twaiku,5,7,5
I'M GONNA BE AN, AUNTIE I'M SO HAPPY I,REALLY WANT TO CRY,twaiku,5,7,5
Didn't even touch, that MEEK tape I still got this,DARK LO on REPEAT,twaiku,"4,5",7,5
update this person, finally asked me out but,i rejected him,twaiku,5,7,5
I've been seeing this, girl for a couple months and,shit she's fucking nuts,twaiku,5,7,5
literally what, world is buying all the tiers,any bit of fun,twaiku,"4,5",7,5
Congratulations, So happy for you Hard work,pays off superstar,twaiku,5,7,5
Honestly no one, gets my heart like Monique why,I'm all yours baby,twaiku,5,7,5
is rolling good old, hunters I might land in an,hour or suen x,twaiku,5,7,"4,5"
Lol back to only, talking to jacky and my,mom but that's ok,twaiku,5,7,5
The Colonel Josey, Wales is an artist I can,listen live all night,twaiku,5,7,5
Roses are spring green, columbines are gray sugar,is sweet and so on,twaiku,"5,6",7,5
i remember it, all its breaks my heart into,pieces everytime,twaiku,5,7,5
My loyalty to, others run so deep sometimes,I betray myself,twaiku,5,7,5
State legislators, eye bills aimed at revamping,sex education,twaiku,5,7,5
Am pretending like, am alright but deep down I,want to rob a bank,twaiku,"5,6","8,7",5
I answered the work, phone saying yeah hi and it,was my manager,twaiku,5,7,5
someone start doing, yoga w me I'll,make us food after,twaiku,5,7,"5,6"
I refer you to, E B White's timeless advice,Omit needless words,twaiku,5,7,5
More forward than an, email so hard to keep up,with all the e males,twaiku,5,7,5
Bitch I'm single on, any social media,my girlfriend not on,twaiku,5,7,5
So now journalists, have the same job description,as politicians,twaiku,5,7,5
Wearing leggings like, a motherfucking boss I,never could before,twaiku,5,7,5
Google search How do, I politely tell him to,stop sending me memes,twaiku,5,7,5
okay no fuck that, justice for white winn he is,donE SO DIRTY NO,twaiku,5,7,5
The people on the, right need a psychiatric,evaluation,twaiku,5,7,5
Sometimes I wonder, what life would be like if I,stayed at my old school,twaiku,5,7,5
i am terrified, of crowds b safe everyone,today in Philly,twaiku,"5,6",7,5
Sometimes people are, wrong but correcting them is,too much energy,twaiku,5,7,5
Remember guys and, the companies taking their,chance with me to well,twaiku,5,7,5
Never been to the, parade of lights and I think,I'm going tonight,twaiku,5,7,5
Heartbroken Rest In, Paradise to one of my,favorite artist,twaiku,5,7,"4,5"
It's friday lol and, I'm on holidays for a,week starting Sunday,twaiku,5,7,5
Not a city kind, of girl but the city has,been calling my name,twaiku,5,7,5
Same I'm watching time, travelling videos on,YouTube and I'm scared,twaiku,5,"6,7",5
I am a giver, therefore I associate,myself with givers,twaiku,"5,6",7,5
its not fake outrage, to call out somebody for,posing with a corpse,twaiku,5,7,5
Happy Saturday, God's gonna Complete What He,Instructs You to Start,twaiku,5,7,5
Sometimes I have so, many ideas I can't,organize my thoughts,twaiku,5,7,5
someone who head ass, over me and can't won't go,to bed mad one day,twaiku,5,7,5
ok that's my cue, good night all its way past my,bedtime adios,twaiku,5,7,5
HALLOWEEN WAS SO, SCARY HOLY SHIT MICHAEL,MYERS I LOVE YOU,twaiku,5,7,5
How many diets, have you been on Which one worked,best for you Or not,twaiku,5,7,5
hmm it's okay to, not know what's coming just keep,being the best you,twaiku,4,7,5
Great tranquility, of heart is his who cares for,neither praise nor blame,twaiku,5,7,5
So many good things, happening I don't even,focus on the bad,twaiku,5,"6,7",5
You needed to see, how I was happy that day,would never forget,twaiku,5,7,5
A cricket just crawled, on me while I was laying,in my bed FUCK NO,twaiku,5,7,5
no idea what, you're on about but glad it,does the thing for you,twaiku,5,7,5
George Kittle Zach Ertz, And I can give two fat fucks,that Ertz has a ring,twaiku,5,7,5
Why everybody, wanna move to Tampa Hell,going on down there,twaiku,5,7,5
Baby iPhone case, disaster my screen is cracked,G R E A T,twaiku,5,7,5
I'm not having a, good day but I'm pretending,like it's the best day,twaiku,5,7,5
Pittsburgh can now shut, up and go back to being,the trash town they are,twaiku,5,7,5
once I take myself, out of a situation,there's no going back,twaiku,5,7,5
My boyfriend got his, braces off today wow I,never feel so loved,twaiku,5,7,5
You raised issues You, wanna see us raise issues,concerning you guys,twaiku,5,"8,7",5
can you guys reply, on mail or over facebook,or over twitter,twaiku,5,7,5
People stay trying, to get in my house knowing,im antisocial,twaiku,"4,5",7,5
Unfortunately, this is too prevalent and,unavoidable,twaiku,5,7,5
I'm getting hair on, the back of my thighs and my,glo up continues,twaiku,5,7,5
I'm sorry but if, you watch people weigh in for,fights you're a weirdo,twaiku,5,7,5
Too early to slip, into a coma and stay,like it forever,twaiku,5,7,5
Wish I was someone, who actually enjoyed,eating healthy food,twaiku,5,"5,6,7",5
laying in the back, room to many people my,mind needed a break,twaiku,5,7,5
My bored nights reading, parenting blogs and advice,columns paying off,twaiku,5,7,5
please remind me in, seven years not to have kids,this time is real tho,twaiku,5,7,5
Maybe life's too short, to be bound by the things that,are temporary,twaiku,5,7,5
I wholeheartedly, believe that I am no ones,favourite person,twaiku,5,"8,7",5
I CAME RUSHING TO, CLASS TODAY ONLY TO FIND,OUT CLASS WAS CANCELLED,twaiku,5,7,5
Christmas List Seeing, Buzz Aldrin punch Steph Curry,in the face The end,twaiku,5,7,5
I AM CONTAINING, MY EXCITEMENT IN PUBLIC,BUT I WANT TO SCREAM,twaiku,"5,6",7,5
I hate being there, for everyone but where y'all,at when I need you,twaiku,5,7,5
I have morning wood, like a vin diesel movie,dude I'm so happy,twaiku,5,7,5
With age we slowly, start to realize that sleep,is over rated,twaiku,5,7,5
I remember my, big bro telling me ya first,name don't mean shit lad,twaiku,5,7,5
the term hater needs, to be collectively and,globally retired,twaiku,5,7,"5,6"
I wish my cycle, would just GO I'm tired of,all these emotions,twaiku,5,7,5
I literally, always get compliments from,customers at work,twaiku,"4,5",7,5
Who knew that loving, a Teacher could feel so right,Yet be so wrong A,twaiku,5,7,5
states should control their, own destiny until we,don't like their choices,twaiku,5,7,5
Stop talking bout how, you move in silence and just,move in silence Damn,twaiku,5,7,5
Truly God knows in, his heart that this country and,life doesn't suit me,twaiku,5,7,5
I have a problem, with my best friend today I,don't know what to do,twaiku,5,7,5
people think Dean will, show up tonight It would be,nice but I doubt it,twaiku,5,7,5
bohemian was, so good the entire cast,go take ur oscar,twaiku,5,7,5
In denial and, totally delusional,Such a wanna be,twaiku,5,7,5
Roller Mobster was, the best thing to come out of,Hotline Miami,twaiku,5,7,5
Maybe but are they, enacted anywhere else,is the main issue,twaiku,5,7,5
you are about as, useless as a bag of dicks,but they smell better,twaiku,5,7,5
I think your business, is amazing get your coins,and help the culture,twaiku,5,7,5
I'm so ready for, next week haven't been in the,Christmas spirit yet,twaiku,5,7,5
Covington should change, it's name to Can I Bum A,Cigarette Off You,twaiku,5,7,5
now I'm just going, to block people from school cause,I cant deal with them,twaiku,5,7,5
This is maybe the, laziest I have seen the,Celtics play all year,twaiku,5,7,5
How many eggs do, they have at Easter island,asking for a friend,twaiku,5,7,5
Ancient Greeks did it, should be done again I would,be on the side lines,twaiku,5,7,5
Black people have known, Logan Paul was an A hole,Y'all just learning HA,twaiku,5,7,5
If you're hungry eat, something If you're thirsty drink,some water Simple,twaiku,5,7,5
thomas this is what, it was like growing up with,you as a sister,twaiku,5,7,5
I'm never eating, mall food again I think I,have food poisoning,twaiku,5,7,5
I'll literally, pay someone to knock some sense,into my brother,twaiku,"4,5",7,5
